,Tweet,Score,Magnitude
0,Since President Buhari came to power in May 2015 Nigeria s stock market has fallen more than any other in the world dropping 50 in dollar terms That may hurt him in this weekend s elections though many are wary of his main opponent Atiku,-0.30000001192092896,0.30000001192092896
1,President Buhari says his administration has delivered on the three electoral promises made to Nigerians in 2015 namely security provision improved economy and fighting corruption tgnelectionwatch Nigeria Buhari APC ICYMI,-0.4000000059604645,0.4000000059604645
2,The recent rally in Nigeria s stocks may pick up steam if there a change in government after this weekend presidential election according to lenders and money managers including AllianceBernstein and Citigroup Buhari Atiku,0.0,0.0
3,Thanks to all those that kept the promise of stoning amp to all those that would vote them out a big Thanks in advance NigeriaDecides2019 Nigeria buhariout buhari,0.5,0.5
4,RT Nigeria BREAKING Governor Technically Declares s Defeat Orders To Throw In The Towel Now https,0.30000001192092896,0.30000001192092896
5,RT Does this crowd look happy to you If you study this photo you see Reuters logo on it Story by BBC UK govt media stamp,0.699999988079071,0.699999988079071
6,Happening now President Buhari and Atikuat the International Conference Centre in Abuja for the second signing of the National Peace Accord NigeriaDecides TGNElectionWatch Nigeria Buhari Atiku,0.30000001192092896,0.30000001192092896
7,RT Ekwo RT Not saying it is not true but what better way to illustrate a big crowd at a Jubil aka Buhari rally Brilliant actually Stampede Ekwo,0.800000011920929,0.800000011920929
8,RT Not saying it is not true but what better way to illustrate a big crowd at a Jubil aka Buhari rally Brilliant actually S,0.800000011920929,0.800000011920929
9,Bishop Oyedepo church members arraigned for N38m fraud Ogun livingFaith Buhari RememberPDP WednesdayMotivation WalterOnnoghen WorldRadioDay RestInPeaceAPC Bre YoungMa Mali genevieve INEC Oloye peaceaccord,-0.6000000238418579,0.6000000238418579
10,Nigeria news politics Katsina APC targets 2 8 million votes for Buhari,0.0,0.0
11,RR FT Nigeria Politics NigeriaDecides Atiku Buhari APC PDP n n I think on the health issue it is likely a matter of who is less unhealthy They are both old men,-0.20000000298023224,0.20000000298023224
12,I also lost my job 2015 when Buhari came to power since then life has not been easy A lot of people lost their jobs if yo do comments and retweet,-0.699999988079071,0.699999988079071
13,Nigeria news elections Traffic gridlock hits Ilorin ahead of Buhari s visit,0.0,0.0
14,Kwara state promise an harmonious e as you visit Us today n Ne n OTOGE n buhari n PMBInKwara n OTOGE,-0.4000000059604645,0.4000000059604645
15,why you go about welcoming Buhari and Atiku in various states heres a chart from bbc that will get you thinking how unemployed and how many deaths there have been in states accross Nigeria n PMBInKwara,-0.30000001192092896,0.30000001192092896
16,9jaVAR News Update gt Her breasts tempted me Man arrested for forcing 14 year old Girl Into Bed Says nigeria africa news lagos government buhari naija 9javar latest retweet like4like,-0.8999999761581421,0.8999999761581421
17,RT Nigeria BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s,-0.8999999761581421,0.8999999761581421
18,RT atuejide Pls oh when did of turn Oba Akiolu of Lagos nAbi is the Oba s throne no longer sacred,-0.6000000238418579,0.6000000238418579
19,BREAKING 2019 Remi Tinubu Refuses To Campaign For Silently Endorses s postnigerianews Buhari Atiku NigeriaDecides 2019Elections,-0.8999999761581421,0.8999999761581421
20,That s a spirit of a democrat not a favouritism like Buhari,0.0,0.0
21,RT With Love nNigerians in the UK for Buhari n n,0.4000000059604645,0.4000000059604645
22,i gave up on you and your government after i was deprived employment by and the NigerianNavy all because i dont have a minister or a senator to be my godfather as requested by them it was obvious that people who failed the interview got the job what a Life BUHARI,-0.10000000149011612,0.10000000149011612
23,RT This is the killer Buhari nNo more killing of Biafra people again nNever again shall Biafra people killed,0.20000000298023224,0.20000000298023224
24,RT Happy new week n nYou know we ve the solution to your Phone Laptop problem n nVisit us and let s help you do more n nCall us,0.699999988079071,0.699999988079071
25,LOL He should come up with a better strategy This one don fail buhari must go,0.20000000298023224,0.20000000298023224
26,Buhari s Administration has focused on empowering market women and this has helped me in growing my business My vote will always be for Buhari anytime anyday Mrs Salamotu Trader Kaduna n n ispeakup4buhari n ispeakupforbuhari n buhari n osibanjo n kadunaspeaksup4buhari,0.8999999761581421,0.8999999761581421
27,RT 9jaVAR News Update gt Bobrisky shows off his newly constructed dangerous hips nigeria africa news lagos government buhari,-0.699999988079071,0.699999988079071
28,9jaVAR News Update gt Bobrisky shows off his newly constructed dangerous hips nigeria africa news lagos government buhari naija 9javar latest retweet like4like,-0.699999988079071,0.699999988079071
29,RT Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi Ye,0.10000000149011612,0.10000000149011612
30,Hoodlums attack Abia pastor kill two daughters Police Atiku Buhari APC PDP PeterObi YemiOsinbajo SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis Drake,0.0,0.0
31,APC Threatens Igbos Says They Will Regret Not Voting Buhari kokotv kokong kokonews politics APC 2019Elections Elections2019 PresidentialElections Igbos Buhari PMB FeBuhari16,-0.8999999761581421,0.8999999761581421
32,2 killed by Soldiers at the Imo state APC rally n nLink in bio to read more n buhari tundeednut davido bellanaijaweddings,0.0,0.0
33,Guys let s vibe Do u c d peaceAccord btw buhari Atiku holding any water N if a seyilaw joke of Sunday ws pulled on u ds hw will u react,-0.4000000059604645,0.4000000059604645
34,Dr Adam Shuabi in this video affirmed his decision to re elect Buhari by mentioning numerous cities in which he has witnessed the effect of the efficiency of the Buhari Osibanjo administration n Nigeriadecides n buhari n osibanjo n ispeakup4buhari n ispeakupforbuhari,0.0,0.0
35,For me and my household our votes is for Buhari Sai Baba can t allow Atiku privatize NNPC never they sold NEPA power became worst Ne,-0.6000000238418579,0.6000000238418579
36,RT atuejide There s nothing wrong with the Head of State but there s something wrong with the state of his head n nEven i,-0.30000001192092896,0.30000001192092896
37,VIDEO Victor AD ft Erigga Why onyi Buhari cashfollowplane cashgainingtrain chefchi chefchioma Davido digitalmarketing digitalmedia Erigga fashionbloggers followforfollow likeforlikealways love thechefchi tiwasavage VictorAD vi,-0.30000001192092896,0.30000001192092896
38,2019 Major shakeup hits Nigerian Army navy police Atiku Buhari APC PDP PeterObi YemiOsinbajo Africa SouthAfrica MondayMotivation Cardi Nicki kaceymusgraves ChildishGambino mondaythoughts Drake Grammy InvasionOfPrivacy Travis,0.0,0.0
